State,2017,2016,2015,2014,2013
AK,48868,48518,48413,47949,48802
AL,68138,67443,66739,66739,63464
AR,47403,47218,51109,51109,49501
AZ,48616,48218,46950,46950,47085
CA,78711,77179,70126,70126,69672
CO,46506,46155,50651,50651,49865
CT,72561,72013,70584,70584,70621
DE,60214,59960,60571,60571,59779
DC,76131,75810,73162,73162,69864
FL,49407,49199,46691,46691,47253
GA,54602,54190,52924,52924,53819
HI,57674,57431,56291,56291,54970
IA,47504,46122,50945,50945,49359
ID,61602,61342,60124,60124,58595
IL,50554,50715,50644,50644,51357
IN,55443,54416,51662,51662,51076
KS,47984,47755,48221,48221,47496
KY,52339,52134,50705,50705,50558
LA,50000,49745,52259,52259,51014
MA,51077,50498,49232,49232,48126
MD,66961,66456,64868,64868,64693
ME,77804,76981,73736,73736,72915
MI,62200,62028,61866,61866,62585
MN,57346,56913,57230,57230,55874
MO,42925,42744,42187,42187,42339
MS,48293,47957,48329,48329,47178
MT,51422,51034,49893,49893,49354
NC,52338,51386,49545,49545,48955
ND,57376,56943,57391,57391,55467
NE,57253,56616,57057,57057,55079
NH,69623,69330,70060,70060,68194
NJ,47500,47163,45727,45727,46381
NM,79637,79152,76566,76566,74620
NV,49837,47941,45355,45355,46712
NY,51618,50472,48666,48666,46825
OH,57000,56441,57270,57270,57659
OK,45245,45276,44277,44277,45130
OR,61631,60359,58597,58597,58302
PA,65863,65151,64072,64072,62965
RI,66477,66197,64696,64696,63221
SC,48598,48769,48425,48425,48217
SD,42668,42025,40023,40023,39450
TN,48456,48217,48049,48049,47866
TX,52575,51890,49270,49270,49178
UT,47244,46887,50659,50659,48961
VA,60187,58901,53656,53656,52160
VT,51049,50834,49233,49233,49514
WA,54147,53738,52236,52236,53101
WI,45701,45622,45583,45583,46074
WV,54998,54115,54717,54717,54687
WY,58650,58140,57910,57910,58174