COUNTY,FY17,FY16,FY15
Accomack,40949,43712,44385
Albemarle,54586,54449,54907
Alleghany,47477,48507,49427
Amelia,49019,49150,49450
Amherst,45527,45111,46810
Appomattox,39904,38949,39559
Arlington,73846,74534,74613
Augusta,47061,48602,47897
Bath,46784,48410,47750
Bedford,43653,40986,46640
Bland,43775,42605,45024
Botetourt,51189,51293,48861
Brunswick,41712,40223,40969
Buchanan,39840,41429,35834
Buckingham,42193,41477,43747
Campbell,43257,43305,45320
Caroline,47144,48630,47166
Carroll,44042,45563,47656
Charles City,44350,43666,45722
Charlotte,44298,46244,44500
Chesterfield,50087,50281,49065
Clarke,50728,50152,50790
Craig,45277,41580,37974
Culpeper,48769,49318,49353
Cumberland,48069,48098,47309
Dickenson,38948,39429,40568
Dinwiddie,47901,47890,52127
Essex,45007,46012,47681
Fairfax,64580,64924,68687
Fauquier,56267,53705,53960
Floyd,44747,45327,45972
Fluvanna,50524,52409,52009
Franklin,44974,47032,47269
Frederick,50689,51503,54851
Giles,40759,41061,42574
Gloucester,49567,49117,49615
Goochland,48187,49275,49469
Grayson,37245,37643,33974
Greene,44856,47375,50330
Greensville,46397,47571,50072
Halifax,38883,38503,47969
Hanover,48334,49795,50111
Henrico,50428,50050,50944
Henry,44957,46152,46763
Highland,46255,48785,50292
Isle of Wight,55110,54801,54956
King George,48769,48221,47457
King And Queen,49167,47285,47586
King William,49691,49740,48618
Lancaster,47480,45972,44244
Lee,39243,41757,42325
Loudoun,61485,64284,63553
Louisa,48671,50016,46986
Lunenburg,44401,44658,45328
Madison,44490,42804,45671
Mathews,44931,43299,44109
Mecklenburg,43750,42899,42299
Middlesex,43881,42996,46031
Montgomery,47338,49605,47938
Nelson,50967,51207,48900
New Kent,47133,47282,46996
Northampton,41427,41883,45367
Northumberland,48024,47630,48260
Nottoway,47793,46321,46411
Orange,47465,49388,51561
Page,43358,44398,45269
Patrick,42447,43147,43498
Pittsylvania,40865,43074,42653
Powhatan,51846,52829,53839
Prince Edward,44977,41386,42916
Prince George,53353,51766,51816
Prince William,61667,63521,62046
Pulaski,45209,44823,43805
Rappahannock,51519,51609,54314
Richmond,49185,48865,49071
Roanoke,49968,49719,51736
Rockbridge,45971,47534,48485
Rockingham,47503,48941,50032
Russell,38804,39079,40356
Scott,45962,46362,45029
Shenandoah,46694,47424,51329
Smyth,43259,43223,43532
Southampton,43171,44819,46056
Spotsylvania,53178,54212,56118
Stafford,53031,53303,51930
Surry,50198,51163,48453
Sussex,52978,49901,62639
Tazewell,38762,37499,34986
Warren,47916,47289,47164
Washington,47414,47751,47812
Westmoreland,44675,45297,45100
Wise,49693,47463,39728
Wythe,47288,46744,47161
York,49883,51247,52531
Alexandria,72942,73675,75604
Bristol,43926,42972,48078
Buena Vista,41979,40131,40483
Charlottesville,54886,56214,57311
Colonial Heights,50464,50153,51300
Covington,51141,48040,51109
Danville,47879,47712,47239
Falls Church,75564,69686,66589
Fredericksburg,49493,51498,52655
Galax,46328,47259,48105
Hampton,47516,47413,44662
Harrisonburg,43974,43616,43990
Hopewell,48013,45443,52017
Lynchburg,39037,47337,74461
Martinsville,43210,46839,48345
Newport News,51148,50219,49682
Norfolk,49908,48118,48955
Norton,41463,39660,39390
Petersburg,42150,42814,42858
Portsmouth,38872,51576,50100
Radford,50428,50288,50720
Richmond,50148,50522,53778
Roanoke,50509,47845,46538
Staunton,46730,46208,49002
Suffolk,49809,51375,50611
Virginia Beach,55544,56128,56048
Waynesboro,47484,44594,49660
Williamsburg Public,3.09%,52920,SchoolsÂ³
Winchester,53910,54376,54598
Franklin,46430,45592,39625
Chesapeake,56484,56156,57078
Lexington,39402,40127,41889
Salem,55115,55353,59420
Poquoson,46887,48519,49523
Manassas,62534,64124,67333
Manassas Park,62097,58942,58089
